Time,Open,High,Low,Last,Change,%Chg,Volume
"2023-06-07 20:26",14334,14336,14333.5,14335.25,1.25,+0.01%,182
"2023-06-07 20:27",14335,14338.25,14334.75,14336.25,1,+0.01%,329
"2023-06-07 20:28",14336.5,14337.25,14335.25,14335.5,-0.75,-0.01%,106
"2023-06-07 20:29",14335.5,14337,14334.75,14335.5,0,0.00%,130
"2023-06-07 20:30",14336.25,14337,14333.5,14334.25,-1.25,-0.01%,205
"2023-06-07 20:31",14334,14334,14330.5,14331.25,-3.,-0.02%,323
"2023-06-07 20:32",14330.75,14333.5,14330,14332.75,1.5,+0.01%,202
"2023-06-07 20:33",14333,14334.25,14332.75,14333.5,0.75,+0.01%,167
"2023-06-07 20:34",14333.5,14333.5,14331.5,14332.75,-0.75,-0.01%,124
"2023-06-07 20:35",14333,14334.75,14332,14332.75,0,0.00%,132
"2023-06-07 20:36",14333,14333.5,14332,14332.5,-0.25,0.00%,101
"2023-06-07 20:37",14333,14334,14331.75,14332,-0.5,0.00%,111
"2023-06-07 20:38",14332.25,14333,14330.25,14331,-1.,-0.01%,202
"2023-06-07 20:39",14331,14331.5,14330,14330.25,-0.75,-0.01%,88
"2023-06-07 20:40",14330.5,14331,14328.5,14328.75,-1.5,-0.01%,384
"2023-06-07 20:41",14328.5,14329,14321.25,14321.75,-7.,-0.05%,683
"2023-06-07 20:42",14321.25,14324,14315.25,14323.5,1.75,+0.01%,947
"2023-06-07 20:43",14323.5,14324.25,14319.25,14319.25,-4.25,-0.03%,243
"2023-06-07 20:44",14320,14320.5,14317.75,14318.75,-0.5,0.00%,218
"2023-06-07 20:45",14319,14321.75,14316.75,14316.75,-2.,-0.01%,269
"2023-06-07 20:46",14316.75,14319.5,14316,14318.25,1.5,+0.01%,164
"2023-06-07 20:47",14318,14320,14316.25,14319.5,1.25,+0.01%,210
"2023-06-07 20:48",14319.25,14321.75,14318.75,14321,1.5,+0.01%,149
"2023-06-07 20:49",14320.5,14321,14318.25,14319.25,-1.75,-0.01%,151
"2023-06-07 20:50",14319.5,14321,14318.75,14320.75,1.5,+0.01%,114
"2023-06-07 20:51",14320.75,14322.25,14319.75,14321.5,0.75,+0.01%,149
"2023-06-07 20:52",14321,14323,14320.5,14321.25,-0.25,0.00%,116
"2023-06-07 20:53",14321.75,14323.5,14321.25,14323,1.75,+0.01%,98
"2023-06-07 20:54",14323.5,14324.5,14322.75,14322.75,-0.25,0.00%,188
"2023-06-07 20:55",14323,14326.75,14322.75,14326.25,3.5,+0.02%,245
"2023-06-07 20:56",14326.25,14326.25,14324.5,14326,-0.25,0.00%,121
"2023-06-07 20:57",14326.25,14328,14326,14327.5,1.5,+0.01%,176
"2023-06-07 20:58",14327.25,14328,14326,14327.5,0,0.00%,83
"2023-06-07 20:59",14327,14327.75,14326.25,14327.25,-0.25,0.00%,98
"2023-06-07 21:00",14327.25,14328.25,14325.75,14326,-1.25,-0.01%,90
"2023-06-07 21:01",14326,14327.75,14323.75,14324.25,-1.75,-0.01%,278
"2023-06-07 21:02",14324.25,14325,14323.5,14324.25,0,0.00%,102
"2023-06-07 21:03",14323.75,14326.25,14322.75,14326.25,2,+0.01%,131
"2023-06-07 21:04",14325.25,14326.75,14323.5,14325.5,-0.75,-0.01%,113
"2023-06-07 21:05",14325.5,14326.5,14324.5,14326,0.5,0.00%,72
"2023-06-07 21:06",14325.5,14325.5,14323.5,14324,-2.,-0.01%,38
"2023-06-07 21:07",14324,14325.25,14323.5,14324,0,0.00%,104
"2023-06-07 21:08",14324,14324,14321.5,14323,-1.,-0.01%,163
"2023-06-07 21:09",14323.5,14324.75,14323,14324.25,1.25,+0.01%,128
"2023-06-07 21:10",14324.25,14326.5,14323.75,14326,1.75,+0.01%,189
"2023-06-07 21:11",14325.75,14326.25,14324.75,14325.5,-0.5,0.00%,49
"2023-06-07 21:12",14325.75,14326.25,14324.25,14324.75,-0.75,-0.01%,43
"2023-06-07 21:13",14325,14325,14320.75,14324,-0.75,-0.01%,205
"2023-06-07 21:14",14324,14324.5,14322.5,14323.25,-0.75,-0.01%,103
"2023-06-07 21:15",14323,14323,14321.25,14321.75,-1.5,-0.01%,57
"2023-06-07 21:16",14322,14323,14321.5,14321.75,0,0.00%,52
"2023-06-07 21:17",14321.75,14324,14321.25,14323.25,1.5,+0.01%,57
"2023-06-07 21:18",14323.75,14325.5,14322.75,14323,-0.25,0.00%,78
"2023-06-07 21:19",14322.5,14323.5,14321.75,14323,0,0.00%,87
"2023-06-07 21:20",14323,14326.25,14323,14326,3,+0.02%,104
"2023-06-07 21:21",14326,14327.25,14325.5,14327.25,1.25,+0.01%,84
"2023-06-07 21:22",14327.25,14327.25,14325,14325,-2.25,-0.02%,103
"2023-06-07 21:23",14324.75,14327,14324.5,14326,1,+0.01%,91
"2023-06-07 21:24",14325.75,14327.25,14325.75,14326.25,0.25,0.00%,92
"2023-06-07 21:25",14325.75,14327.5,14325.25,14326.25,0,0.00%,103
"2023-06-07 21:26",14326,14326,14323.5,14323.75,-2.5,-0.02%,133
"2023-06-07 21:27",14324,14324.25,14323.25,14324,0.25,0.00%,55
"2023-06-07 21:28",14324.25,14325,14323.5,14324.75,0.75,+0.01%,71
"2023-06-07 21:29",14325,14325.75,14325,14325.5,0.75,+0.01%,36
"2023-06-07 21:30",14325.25,14325.5,14323.25,14323.75,-1.75,-0.01%,80
"2023-06-07 21:31",14324,14324.5,14323.5,14323.5,-0.25,0.00%,30
"2023-06-07 21:32",14323.25,14323.5,14322.25,14322.5,-1.,-0.01%,102
"2023-06-07 21:33",14322.5,14324.25,14321.5,14323.75,1.25,+0.01%,352
"2023-06-07 21:34",14323.75,14324.25,14323.25,14324.25,0.5,0.00%,22
"2023-06-07 21:35",14324,14325,14323.25,14323.25,-1.,-0.01%,53
"2023-06-07 21:36",14323,14323,14320.75,14320.75,-2.5,-0.02%,139
"2023-06-07 21:37",14320.75,14322.25,14320.5,14321.5,0.75,+0.01%,92
"2023-06-07 21:38",14321.25,14322.5,14321,14322,0.5,0.00%,146
"2023-06-07 21:39",14322,14323.5,14321.75,14323.25,1.25,+0.01%,81
"2023-06-07 21:40",14323,14323.5,14322.75,14323.5,0.25,0.00%,49
"2023-06-07 21:41",14323.25,14323.25,14321.25,14321.25,-2.25,-0.02%,82
"2023-06-07 21:42",14321.5,14321.75,14320.75,14321.25,0,0.00%,57
"2023-06-07 21:43",14321.25,14322.5,14321,14321.25,0,0.00%,59
"2023-06-07 21:44",14321.75,14322,14320.5,14321.5,0.25,0.00%,62
"2023-06-07 21:45",14321.25,14323.5,14321,14321.75,0.25,0.00%,146
"2023-06-07 21:46",14322,14323.25,14321.75,14322.5,0.75,+0.01%,53
"2023-06-07 21:47",14322.5,14322.75,14321.5,14321.5,-1.,-0.01%,207
"2023-06-07 21:48",14321.75,14323.75,14321.5,14323.5,2,+0.01%,60
"2023-06-07 21:49",14323.5,14325.25,14323.5,14324.75,1.25,+0.01%,72
"2023-06-07 21:50",14325,14327,14325,14326,1.25,+0.01%,111
"2023-06-07 21:51",14326,14326.5,14325.5,14326,0,0.00%,60
"2023-06-07 21:52",14325.75,14325.75,14324,14324.25,-1.75,-0.01%,120
"2023-06-07 21:53",14324,14325.5,14323,14324,-0.25,0.00%,108
